timestamp_iso,attempt,elapsed_s,start_x,start_y,finish_x,finish_y,start_t,finish_t,status
2025-10-25T12:37:01,1,723.069,3.750,3.750,0.160,-0.450,1761384298.242,1761385021.311,finish
2025-10-25T12:43:07,2,258.027,3.750,3.750,0.285,-0.449,1761385129.412,1761385387.439,finish
2025-10-27T16:04:55,3,4561.452,3.750,3.750,0.203,-0.454,1761565733.595,1761570295.048,finish
2025-10-29T04:51:41,4,5896.035,3.750,3.750,0.368,-0.453,1761696805.770,1761702701.805,finish
2025-10-30T19:33:20,5,3514.371,3.750,3.750,0.342,-0.453,1761838486.563,1761842000.934,finish
